symbol,date,open,high,low,close,volume
20MICRONS,2025-08-21,237.6,239.99,231.57,232.33,114032
20MICRONS,2025-08-22,233.0,241.7,232.65,234.36,144509
20MICRONS,2025-08-25,235.09,239.87,231.35,233.56,92170
20MICRONS,2025-08-26,233.56,234.15,227.02,228.91,79770
20MICRONS,2025-08-28,228.02,233.5,225.84,230.57,70930
20MICRONS,2025-08-29,230.75,234.6,228.02,230.87,69878
20MICRONS,2025-09-01,231.8,238.26,228.44,231.98,106066
20MICRONS,2025-09-02,233.13,237.0,231.31,232.56,57705
20MICRONS,2025-09-03,234.9,237.49,227.35,232.51,141810
20MICRONS,2025-09-04,232.59,238.01,232.0,233.27,85583
20MICRONS,2025-09-05,235.6,235.94,229.5,231.41,102139
20MICRONS,2025-09-08,231.99,235.41,229.0,230.02,112074
20MICRONS,2025-09-09,230.53,232.56,225.6,227.02,105914
20MICRONS,2025-09-10,228.5,231.0,226.0,226.66,106283
20MICRONS,2025-09-11,227.55,231.0,226.61,227.37,53581
20MICRONS,2025-09-12,228.85,231.0,225.86,226.58,76601
20MICRONS,2025-09-15,227.11,227.69,223.61,225.27,137689
20MICRONS,2025-09-16,225.98,227.25,223.66,225.67,110547
20MICRONS,2025-09-17,226.79,231.0,226.2,227.37,75143
20MICRONS,2025-09-18,227.5,237.45,227.5,230.33,275039
20MICRONS,2025-09-19,229.0,231.92,229.0,230.51,64790
20MICRONS,2025-09-22,230.0,232.05,227.3,228.35,192126
20MICRONS,2025-09-23,228.5,232.0,225.25,226.24,73388
20MICRONS,2025-09-24,228.0,230.2,224.55,227.74,94523
20MICRONS,2025-09-25,227.2,228.0,223.65,225.34,84461
20MICRONS,2025-09-26,225.34,226.24,220.0,220.78,102455
20MICRONS,2025-09-29,220.0,221.98,208.22,210.44,164732
20MICRONS,2025-09-30,211.0,215.0,204.5,207.16,171507
20MICRONS,2025-10-01,208.35,215.49,208.35,213.99,117495
20MICRONS,2025-10-03,215.99,218.89,214.78,217.17,96502
20MICRONS,2025-10-06,217.18,220.94,210.0,212.66,108525
20MICRONS,2025-10-07,213.05,214.9,210.0,210.76,65943
20MICRONS,2025-10-08,212.65,217.74,211.02,212.85,85908
20MICRONS,2025-10-09,213.45,217.72,208.35,209.78,95346
20MICRONS,2025-10-10,210.48,214.78,207.82,212.33,96785
20MICRONS,2025-10-13,212.33,215.0,209.41,211.96,64596
20MICRONS,2025-10-14,213.99,219.99,212.79,214.5,125721
20MICRONS,2025-10-15,215.44,216.98,213.49,215.96,71617
20MICRONS,2025-10-16,215.96,218.77,215.76,216.84,41947
20MICRONS,2025-10-17,216.84,216.97,213.5,214.57,49166
20MICRONS,2025-10-20,216.65,216.65,206.0,208.86,167665
20MICRONS,2025-10-21,211.98,213.3,210.21,212.28,20505
20MICRONS,2025-10-23,215.45,215.45,211.32,212.27,47010
20MICRONS,2025-10-24,211.5,213.0,208.7,210.51,52448
20MICRONS,2025-10-27,211.0,211.86,208.57,210.26,64341
20MICRONS,2025-10-28,210.6,211.54,208.62,209.37,51403
20MICRONS,2025-10-29,210.2,210.2,206.8,208.14,77494
20MICRONS,2025-10-30,210.22,210.23,206.0,207.74,49292
20MICRONS,2025-10-31,206.72,207.9,204.76,206.83,60289
20MICRONS,2025-11-03,206.83,221.2,206.83,217.71,218244
20MICRONS,2025-11-04,218.0,220.98,214.0,216.05,82091
20MICRONS,2025-11-06,218.5,218.5,207.06,208.31,93455
20MICRONS,2025-11-07,208.31,215.0,206.0,213.21,67345
20MICRONS,2025-11-10,207.3,211.8,202.76,203.33,148535
20MICRONS,2025-11-11,203.73,205.5,197.0,197.7,113294
20MICRONS,2025-11-12,199.0,201.44,198.0,199.25,78618
20MICRONS,2025-11-13,199.25,201.1,197.55,197.95,99414
20MICRONS,2025-11-14,197.9,199.06,191.6,193.63,95278
20MICRONS,2025-11-17,195.55,196.31,193.5,195.09,66440
20MICRONS,2025-11-18,194.09,196.9,190.0,195.1,45911
20MICRONS,2025-11-19,198.75,198.75,192.1,194.67,37242
20MICRONS,2025-11-20,194.0,195.96,190.0,190.86,56469
20MICRONS,2025-11-21,190.0,193.19,189.56,190.37,49898
20MICRONS,2025-11-24,189.2,190.36,184.18,185.16,82495
20MICRONS,2025-11-25,186.09,189.0,183.61,187.98,52135
20MICRONS,2025-11-26,191.99,197.59,187.11,195.62,63500
20MICRONS,2025-11-27,196.4,198.01,193.25,193.99,49499
20MICRONS,2025-11-28,192.05,194.16,189.4,191.34,88207
20MICRONS,2025-12-01,192.04,195.57,190.27,191.56,41491
20MICRONS,2025-12-02,191.75,191.75,188.9,189.42,38543
20MICRONS,2025-12-03,188.0,192.0,186.26,190.6,65939
20MICRONS,2025-12-04,190.6,193.29,188.25,189.92,38690
20MICRONS,2025-12-05,190.11,191.0,184.9,188.66,72146
20MICRONS,2025-12-08,188.66,189.99,184.06,185.58,60961
20MICRONS,2025-12-09,182.8,193.52,182.6,189.11,94186
20MICRONS,2025-12-10,189.0,191.85,188.0,188.36,33413
20MICRONS,2025-12-11,189.02,190.92,185.56,188.1,51965
20MICRONS,2025-12-12,188.76,191.5,188.76,190.5,35816
20MICRONS,2025-12-15,190.02,193.35,188.2,192.61,55790
20MICRONS,2025-12-16,193.75,197.9,190.41,195.92,65384
20MICRONS,2025-12-17,195.35,196.47,189.62,191.21,43806
20MICRONS,2025-12-18,192.17,192.39,189.34,191.21,39646
20MICRONS,2025-12-19,193.1,193.1,190.05,192.33,33564
20MICRONS,2025-12-22,194.24,196.64,193.58,194.53,56691
20MICRONS,2025-12-23,196.0,202.7,193.61,198.67,75764
20MICRONS,2025-12-24,200.8,201.39,196.81,197.85,56396
20MICRONS,2025-12-26,200.99,237.4,196.61,217.71,10772476
20MICRONS,2025-12-29,218.36,223.9,213.2,220.68,1246535
20MICRONS,2025-12-30,221.0,228.7,215.02,217.2,1011119
20MICRONS,2025-12-31,218.0,221.79,212.0,212.77,253140
20MICRONS,2026-01-01,214.47,214.47,208.41,212.08,163949
20MICRONS,2026-01-02,214.2,217.79,209.01,214.3,206190
20MICRONS,2026-01-05,214.85,217.15,208.06,209.16,95150
20MICRONS,2026-01-06,209.5,214.64,203.15,205.18,160605
